5,"('Al', 'Al', 0)","('Al', 'Al', 1)","('Al', 'Al', 2)","('Al', 'Al', 3)","('Al', 'Ga', 0)","('Al', 'Ga', 1)","('Al', 'Ga', 2)","('Al', 'Ga', 3)","('Al', 'In', 0)","('Al', 'In', 1)","('Al', 'In', 2)","('Al', 'In', 3)","('Al', 'O', 0)","('Al', 'O', 1)","('Al', 'O', 2)","('Al', 'O', 3)","('Al', 'O', 4)","('Ga', 'Ga', 0)","('Ga', 'Ga', 1)","('Ga', 'Ga', 2)","('Ga', 'Ga', 3)","('Ga', 'O', 0)","('Ga', 'O', 1)","('Ga', 'O', 2)","('Ga', 'O', 3)","('Ga', 'O', 4)","('In', 'Ga', 0)","('In', 'Ga', 1)","('In', 'Ga', 2)","('In', 'Ga', 3)","('In', 'In', 0)","('In', 'In', 1)","('In', 'In', 2)","('In', 'In', 3)","('In', 'In', 4)","('In', 'O', 0)","('In', 'O', 1)","('In', 'O', 2)","('In', 'O', 3)","('O', 'O', 0)","('O', 'O', 1)","('O', 'O', 2)"
1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,20,0,17,19,9,23,1,0,14,26,68,14,0,64,70,0,68,104,200,68,286
1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,24,20,60,0,100,104,63,52,0,12,23,20,8,0,8,28,56,0,42,76,284,112,364
1198,70,0,28,28,0,0,0,0,39,0,16,84,78,0,101,120,86,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,0,12,38,60,0,73,102,360,198,552
1199,42,0,18,28,48,16,25,30,0,0,0,0,53,0,76,92,70,46,0,10,14,63,0,66,88,58,0,0,0,0,0,0,0,0,0,0,0,0,0,284,144,332
1200,2,0,4,0,4,2,1,0,12,1,3,4,17,0,13,12,13,2,0,0,0,9,0,14,15,9,7,0,8,2,8,26,10,2,10,28,0,39,51,134,46,176
1201,28,0,16,48,35,8,35,13,21,0,7,19,69,0,82,80,77,14,0,12,18,40,0,71,80,39,15,0,6,12,6,4,2,2,14,29,0,48,46,360,198,624
1202,4,0,0,0,22,10,14,10,0,0,0,0,20,0,34,16,10,128,0,36,68,88,28,90,146,72,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,264
1203,32,0,8,28,18,7,31,9,25,0,12,25,52,0,75,67,63,26,0,4,20,46,0,63,60,58,17,0,11,21,6,8,0,0,22,40,0,69,58,360,198,600
1204,6,0,4,2,12,5,1,16,18,0,2,19,19,0,31,34,18,42,0,10,14,45,0,66,71,39,25,0,9,10,22,14,4,8,26,52,0,45,77,284,112,364
1205,4,0,0,0,8,1,3,2,0,0,0,0,12,0,7,8,3,6,0,0,2,10,0,11,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,20
1206,2,0,0,0,16,5,4,4,1,0,0,1,10,3,10,12,9,110,0,38,56,85,23,100,134,65,14,0,4,4,2,0,0,0,0,13,2,14,22,280,198,264
1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,22,6,63,0,97,100,63,48,0,13,26,20,8,0,8,30,53,0,45,80,284,112,364
1208,40,0,10,6,9,0,3,0,0,0,0,0,33,0,34,20,36,2,0,0,0,7,0,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
1209,24,2,16,10,6,7,9,1,42,0,28,31,52,0,64,100,39,4,0,2,0,13,0,24,26,15,10,0,3,7,32,46,14,12,32,57,0,84,126,340,134,594
1210,22,0,12,10,0,0,0,0,16,0,9,8,26,0,33,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,4,18,0,14,18,98,28,118
1211,22,2,0,4,0,0,0,0,8,4,0,8,23,0,16,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,17,0,16,12,76,36,60
1212,38,0,28,40,54,19,47,16,0,0,0,0,68,0,91,90,76,46,0,14,62,70,0,117,110,83,0,0,0,0,0,0,0,0,0,0,0,0,0,360,198,648
1213,42,0,10,24,0,0,0,0,14,0,5,8,39,0,42,55,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,15,0,13,24,132,36,142
1214,0,0,0,0,0,0,1,0,16,0,4,15,10,0,6,16,18,0,0,0,0,4,0,4,2,7,6,0,2,2,94,114,0,60,158,124,0,140,219,336,222,528
1215,0,0,0,0,0,0,0,0,4,0,0,2,2,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,2,8,20,0,14,17,38,14,28
1216,24,0,14,12,15,5,7,0,0,0,0,0,29,0,30,30,26,4,0,2,6,15,0,17,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
1217,4,0,0,2,9,0,8,0,3,0,1,1,10,0,10,10,4,24,0,2,14,25,0,27,28,9,3,0,1,6,2,0,0,0,0,8,0,8,7,98,28,118
1218,28,0,10,18,44,13,21,15,0,0,0,0,40,10,53,69,31,60,0,20,36,68,18,71,93,51,0,0,0,0,0,0,0,0,0,0,0,0,0,280,198,264
1219,0,0,0,2,0,0,0,0,7,2,0,1,3,0,7,4,8,0,0,0,0,3,0,2,2,1,4,0,0,1,10,24,6,0,14,34,0,29,19,76,24,72
1220,30,4,22,14,42,27,20,21,8,0,6,13,54,2,73,103,66,34,6,16,24,59,0,78,120,48,8,0,6,6,2,4,2,2,0,9,1,20,25,340,142,602
1221,0,0,0,0,2,0,3,2,3,0,0,1,4,0,4,8,0,28,0,0,14,36,0,32,42,9,17,0,0,8,2,2,0,4,6,18,0,17,27,132,36,142
1222,0,0,0,0,0,0,0,1,7,0,1,6,4,0,2,3,8,0,0,0,0,6,0,4,12,10,11,0,3,2,102,118,0,64,172,128,0,128,244,336,222,528
1223,28,0,8,0,11,0,6,0,0,0,0,0,23,0,27,18,25,10,0,0,2,17,0,13,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,11,10,13,1,5,7,30,188,20,60,112,109,0,154,235,340,110,498
1225,4,0,2,2,26,5,4,14,8,0,4,12,23,0,30,34,15,42,0,16,18,50,0,77,86,46,22,0,8,14,20,10,4,0,16,43,0,35,62,284,112,364
1226,0,0,0,0,13,2,1,1,6,0,3,7,13,4,11,12,13,40,0,14,14,55,13,61,63,44,38,0,12,16,14,16,0,8,34,40,11,52,87,280,198,264
1227,22,0,10,6,3,1,3,1,12,0,6,6,26,0,28,28,18,0,0,0,0,6,0,4,6,1,2,0,0,1,2,0,0,0,2,12,0,14,17,90,28,138
1228,8,0,0,2,1,0,0,0,15,0,0,15,14,0,18,17,14,0,0,0,0,6,0,3,3,0,4,0,0,2,20,8,0,8,16,38,0,32,53,132,36,112
1229,16,8,12,22,0,0,0,0,51,0,0,18,51,0,41,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,12,30,37,0,54,66,198,102,252
1230,4,0,8,6,25,12,18,7,9,0,4,8,26,0,38,49,25,60,10,32,20,74,0,100,140,67,24,5,14,12,2,2,2,0,12,22,0,34,61,340,134,608
1231,12,0,0,0,0,0,0,0,8,4,0,8,15,0,12,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,6,25,0,25,13,76,36,60
1232,2,0,0,0,10,2,7,0,0,0,0,0,6,0,9,8,4,36,0,8,32,38,0,38,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
1233,50,4,24,16,36,30,19,24,10,1,8,17,63,2,85,125,65,22,4,8,18,44,0,65,93,56,9,2,5,5,0,0,0,0,4,15,1,21,31,340,142,606
1234,86,14,62,34,21,10,8,18,22,3,12,32,85,7,116,166,109,0,2,0,4,16,0,22,30,19,3,1,2,3,4,2,0,2,8,21,0,28,52,340,146,602
1235,52,0,18,28,36,9,21,9,12,0,5,11,62,16,69,91,48,8,0,8,10,31,10,34,57,26,10,0,0,2,0,2,2,0,0,15,2,21,20,280,198,264
1236,2,0,0,0,0,0,0,0,1,0,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,3,10,8,2
1237,8,0,0,8,18,0,2,0,0,0,0,0,20,0,17,9,17,16,0,0,10,20,0,23,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
1238,54,0,14,60,33,16,29,8,20,0,6,23,77,0,104,97,92,12,0,6,22,41,0,61,56,38,10,0,2,9,0,4,4,2,8,20,0,36,42,360,198,624
1239,4,0,0,4,13,0,8,0,7,0,0,5,14,0,17,19,7,10,0,12,12,29,0,22,42,0,13,0,1,7,2,2,0,0,4,14,0,17,25,132,38,136
1240,18,0,8,8,27,6,7,22,14,0,4,14,35,0,46,54,27,30,0,8,8,47,0,62,74,29,19,0,8,12,12,8,2,6,10,34,0,34,60,284,112,364
1241,52,0,30,12,2,4,4,0,0,0,0,0,39,0,43,40,45,2,0,0,0,5,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
1242,44,0,12,4,2,0,1,0,5,0,1,1,34,0,34,21,31,0,0,0,0,1,0,3,2,3,1,0,0,0,0,0,0,0,0,5,0,3,3,76,42,58
1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,30,58,89,0,109,94,83,55,0,16,33,6,26,0,10,46,49,0,83,98,336,222,540
1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,10,41,0,37,50,49,21,2,0,18,18,42,10,4,24,49,0,62,51,200,68,286
1245,0,0,0,0,1,0,0,2,3,0,0,1,2,0,4,2,1,0,0,0,0,6,0,6,6,3,7,0,0,1,4,2,0,2,4,14,0,8,8,38,14,28
1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,19,0,13,14,3,13,0,0,11,14,30,0,0,32,39,0,40,60,132,36,112
1247,16,2,0,8,1,1,0,0,12,2,0,5,25,0,21,14,18,0,0,0,0,1,0,3,2,3,1,0,0,1,2,8,0,0,2,14,0,16,12,76,36,62
1248,28,0,4,4,17,9,9,14,21,0,7,27,40,0,51,62,30,16,0,2,0,31,0,47,50,29,22,0,7,12,18,6,2,4,14,45,0,44,72,284,112,364
1249,124,24,94,60,27,24,19,17,0,0,0,0,101,10,134,207,144,4,0,0,2,21,1,33,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,340,158,608
1250,0,0,0,0,3,1,2,1,3,0,1,0,3,2,2,6,5,52,0,16,26,59,16,69,72,53,40,0,15,14,18,20,0,6,20,46,10,53,84,280,198,264
1251,0,0,2,0,10,3,3,2,4,3,0,6,10,0,11,20,2,74,4,32,58,79,0,110,158,66,31,3,21,20,14,14,0,4,12,33,0,51,75,340,134,598
1252,16,0,4,2,17,0,5,0,0,0,0,0,23,0,19,14,16,10,0,0,6,17,0,21,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
1253,66,8,34,12,0,0,0,0,4,3,1,4,51,5,57,81,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,3,134,56,170
1254,26,0,6,0,14,7,10,17,15,0,4,19,31,0,45,49,26,28,0,6,6,42,0,59,68,34,30,0,9,10,10,6,2,4,20,43,0,38,65,284,112,364
1255,72,0,42,16,0,0,0,0,2,0,3,1,46,0,54,79,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,132,38,144
1256,2,2,0,2,4,1,3,0,10,0,0,2,13,0,9,9,11,0,2,0,2,6,0,12,7,11,8,0,0,0,4,4,0,0,8,21,0,16,11,76,36,60
1257,16,0,6,12,16,6,10,0,0,0,0,0,26,0,25,27,12,10,0,2,6,18,0,22,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,98,28,118
1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,6,6,7,9,0,0,8,18,14,0,0,34,35,0,36,39,98,28,98
1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,8,2,35,0,61,58,43,46,0,13,17,56,48,8,14,78,81,0,81,131,284,112,364
1260,22,0,8,16,30,10,8,23,14,0,3,9,41,0,53,67,44,40,0,10,14,50,0,70,79,54,16,0,6,7,2,0,0,0,6,25,0,19,34,284,112,364
1261,20,0,6,6,2,0,5,0,13,0,4,11,27,0,27,28,5,0,0,0,0,4,0,4,4,0,2,0,1,0,4,6,0,0,2,16,0,17,18,98,28,118
1262,30,0,8,8,24,5,6,11,23,0,10,19,47,10,53,52,43,8,0,2,6,28,6,30,42,23,14,0,7,3,10,8,0,2,20,33,12,41,75,280,198,264
1263,0,0,2,0,0,0,0,0,13,0,4,14,12,0,6,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,108,120,0,62,176,126,0,144,242,336,222,528
1264,2,0,0,2,0,0,0,0,14,0,6,5,10,0,12,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,10,20,10,44,0,51,65,134,46,162
1265,0,0,0,2,10,0,5,1,6,0,2,3,10,0,12,17,2,14,0,0,16,28,0,27,40,7,17,0,0,4,2,2,0,4,6,19,0,17,25,132,38,130
1266,36,0,0,12,3,0,1,0,9,0,0,4,34,0,29,20,25,0,0,0,0,1,0,3,1,4,0,0,0,0,0,0,0,0,0,5,0,8,4,76,36,64
1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,20,14,43,0,49,63,20,13,2,7,4,4,8,2,0,0,11,0,17,24,134,48,176
1268,46,0,16,20,2,0,4,0,5,0,4,4,42,0,41,38,13,0,0,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,0,4,0,4,6,98,28,118
1269,46,4,38,26,26,20,16,18,20,4,9,27,65,1,91,137,76,16,0,2,10,31,0,49,61,37,11,3,6,5,4,6,2,2,8,26,1,33,53,340,142,602
1270,48,0,16,14,11,4,2,10,37,0,10,40,53,0,81,91,74,2,0,0,0,16,0,16,22,10,11,0,2,3,16,8,4,4,18,47,0,45,73,284,112,364
1271,28,0,8,12,31,10,10,10,15,0,5,19,45,13,49,68,34,16,0,6,16,38,13,42,65,31,16,0,6,5,4,4,0,0,2,25,2,33,42,280,198,264
1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,4,5,0,3,0,118,184,0,66,190,132,0,132,229,312,246,504
1273,18,0,6,0,4,0,2,2,0,0,0,0,18,0,16,12,8,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,26,16
1274,2,2,8,6,2,1,2,1,31,2,16,28,27,0,39,42,40,0,0,0,0,5,0,9,7,6,5,0,4,6,50,118,22,26,72,89,0,121,190,340,128,580
1275,18,0,4,14,8,1,3,0,9,0,4,4,25,0,24,26,7,0,0,0,2,7,0,7,6,3,1,0,1,1,6,10,0,4,4,15,0,17,15,98,28,118
1276,12,0,0,4,6,1,2,3,0,0,0,0,14,0,14,10,6,2,0,0,0,8,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,20
1277,42,0,10,4,3,0,1,0,6,0,2,1,35,0,32,21,29,0,0,0,0,1,0,3,2,3,0,0,0,0,0,0,0,0,0,4,0,6,2,76,42,58
1278,142,28,94,70,12,12,7,9,7,0,8,13,109,7,141,217,134,0,0,0,2,9,0,14,22,19,1,0,0,0,0,0,0,0,0,4,1,11,17,340,158,600
1279,10,0,2,0,7,0,4,1,0,0,0,0,15,0,11,10,7,2,0,0,0,7,0,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,20
1280,12,0,2,4,9,5,0,9,28,0,7,32,30,0,38,43,21,6,0,2,2,20,0,31,34,14,19,0,5,13,38,34,12,16,36,66,0,73,115,284,112,364
1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,4,12,38,0,6,28,40,0,40,44,90,28,98
1282,8,2,0,4,10,1,4,0,3,1,0,2,17,0,17,10,13,4,0,0,4,14,0,14,9,13,4,2,0,0,0,4,0,0,2,9,0,9,8,76,36,62
1283,32,0,6,6,14,9,8,16,27,0,7,24,43,0,60,69,54,8,0,2,6,25,0,40,44,33,23,0,4,7,14,10,2,8,20,48,0,42,71,284,112,364
1284,98,0,36,68,17,4,6,5,18,0,4,10,84,24,96,131,66,2,0,0,0,13,2,12,15,10,2,0,2,1,2,0,0,2,0,11,2,20,18,280,198,360
1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,21,13,10,11,2,9,8,20,44,4,16,10,44,0,45,69,134,46,162
1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,3,9,11,0,0,5,14,40,0,0,50,45,0,48,67,132,36,112
1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,16,36,0,35,23,32,5,1,0,3,0,0,0,0,0,4,0,5,2,76,36,62
1288,40,0,10,6,9,0,3,0,0,0,0,0,32,0,34,21,37,2,0,0,0,8,0,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
1289,2,0,0,0,12,7,6,4,4,1,3,6,16,0,14,25,11,68,10,28,46,76,0,111,145,69,35,5,11,26,10,8,2,4,12,30,0,47,83,340,134,608
1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,18,86,68,100,0,153,205,107,26,4,7,12,0,4,0,4,0,22,0,19,37,340,134,608
1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18,0,9,12,12,10,4,0,6,8,14,2,0,4,22,0,25,16,76,24,72
1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,46,142,113,0,159,148,142,20,0,13,29,4,2,0,0,4,25,0,42,31,360,198,600
1293,6,0,0,4,8,0,5,0,8,0,1,4,16,0,16,18,6,4,0,0,2,11,0,15,11,6,1,0,1,5,6,8,0,2,4,14,0,11,18,98,28,118
1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,42,88,102,0,146,140,134,38,0,12,31,8,6,4,2,8,36,0,62,36,360,198,600
1295,2,0,0,0,4,0,1,2,3,0,1,0,9,0,5,6,2,2,0,0,0,6,0,9,6,5,4,0,0,1,0,0,0,0,2,7,0,4,4,38,14,28
1296,16,0,6,10,38,18,41,11,2,0,0,7,40,0,58,52,53,90,0,26,90,92,0,157,110,85,3,0,2,6,0,0,0,0,0,6,0,7,12,360,198,624
1297,12,0,2,8,24,9,20,16,15,0,7,19,38,0,46,45,49,40,0,10,30,61,0,88,81,76,25,0,13,17,8,6,0,2,26,39,0,65,57,360,198,600
1298,14,0,2,8,12,2,11,0,8,0,3,3,22,0,24,40,6,6,0,2,8,17,0,21,29,5,8,0,0,2,2,2,0,0,0,15,0,10,14,132,36,142
1299,22,0,12,24,15,4,19,7,36,0,10,39,57,0,63,62,75,4,0,2,8,28,0,40,41,34,21,0,7,7,12,26,0,16,52,53,0,82,96,360,198,600
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,6,12,61,3,94,53,39,50,0,24,26,30,4,0,2,28,47,25,30,135,280,198,264
1301,10,0,10,6,4,1,5,0,13,0,5,6,26,0,25,25,4,0,0,0,0,5,0,7,4,6,4,0,0,2,2,4,0,0,4,13,0,15,16,98,28,118
1302,20,0,10,4,17,2,5,8,30,0,8,23,40,10,46,49,32,8,0,0,4,25,2,38,27,12,13,0,10,8,14,20,0,6,24,43,16,40,102,280,198,264
1303,28,0,8,12,10,0,3,0,11,0,5,5,34,0,35,51,8,0,0,0,0,10,0,7,7,5,3,0,0,2,0,2,0,4,4,10,0,13,25,132,36,142
1304,8,0,0,2,16,0,6,0,0,0,0,0,19,0,12,10,13,20,0,0,8,21,0,28,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,64
1305,20,2,10,8,37,21,27,19,5,1,2,9,44,1,54,84,29,52,4,36,26,67,0,99,141,78,13,1,6,6,0,2,2,2,0,11,1,19,26,340,134,610
1306,56,0,20,70,22,10,26,6,30,0,11,34,83,0,112,107,99,6,0,2,2,24,0,42,32,27,8,0,2,7,6,8,4,2,14,31,0,56,49,360,198,624
1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,31,0,31,19,31,37,0,8,5,76,88,0,48,126,107,0,132,209,336,222,528
1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,8,55,4,79,48,36,48,0,25,2,32,18,0,4,38,53,24,45,140,280,198,264
1309,162,30,140,72,10,6,6,10,0,0,0,0,110,14,152,238,192,0,0,0,0,12,0,6,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,340,188,588
1310,28,0,10,6,21,5,4,12,25,0,7,27,41,0,61,62,32,6,0,2,4,25,0,31,40,19,14,0,6,8,18,20,6,6,30,50,0,50,84,284,112,364
1311,12,0,6,6,8,0,6,0,11,0,2,5,22,0,20,24,8,6,0,2,4,11,0,14,11,2,1,0,2,1,4,0,0,0,6,14,0,14,11,98,28,118
1312,0,0,0,0,0,0,0,0,9,0,3,9,6,0,3,6,6,2,0,0,0,10,0,10,5,11,6,0,4,3,102,116,0,58,160,122,0,140,235,336,222,528
1313,6,0,0,2,14,9,14,4,6,1,5,7,13,0,27,30,23,58,4,28,40,71,0,100,139,65,31,3,12,21,16,14,6,4,8,38,0,45,82,340,134,598
1314,26,2,22,14,20,10,13,6,27,3,15,26,53,0,64,108,38,14,4,2,6,34,0,48,72,22,16,3,8,13,14,18,6,8,16,35,0,60,83,340,134,608
1315,16,0,8,8,0,0,0,0,39,2,19,41,35,0,49,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,32,112,16,36,60,85,0,119,169,340,128,572
1316,46,0,28,10,14,4,8,1,0,0,0,0,36,0,41,62,36,2,0,0,4,12,0,16,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,132,38,144
1317,0,0,0,0,7,3,3,1,4,0,3,6,8,0,11,13,9,46,0,16,30,66,0,78,129,33,38,2,25,26,18,40,6,16,24,48,0,83,98,340,128,580
1318,110,16,70,64,16,11,13,15,16,4,8,18,94,6,127,197,113,4,0,0,2,17,0,21,27,16,2,2,2,1,0,0,0,0,2,11,2,21,27,340,158,598
1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,14,0,20,23,6,17,0,7,8,16,44,8,14,8,40,0,46,58,134,46,162
1320,22,0,4,8,20,8,9,16,25,0,9,21,40,0,56,65,42,10,0,4,4,30,0,43,52,30,22,0,4,9,16,8,2,6,16,46,0,43,70,284,112,364
1321,46,0,30,16,1,1,0,2,2,0,2,1,38,0,38,41,17,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,3,98,28,118
1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,6,23,0,28,11,24,11,3,0,5,0,8,0,0,0,17,0,12,8,76,24,72
1323,0,0,0,0,4,1,2,0,1,0,0,0,5,0,2,3,2,24,4,0,12,26,0,31,19,26,8,2,0,2,0,0,0,0,2,9,0,6,5,76,36,62
1324,92,20,46,60,14,12,10,9,22,4,14,36,89,5,116,173,108,2,0,2,0,13,0,20,33,12,5,1,0,2,6,2,2,0,4,20,3,30,51,340,154,594
1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,3,0,2,14,34,8,0,16,36,0,27,31,76,24,72
1326,28,2,26,10,46,33,31,36,0,0,0,0,48,3,70,104,61,62,12,24,44,74,0,99,147,77,0,0,0,0,0,0,0,0,0,0,0,0,0,340,154,594
1327,44,4,16,10,0,0,0,0,13,3,10,10,44,0,45,69,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,10,2,27,13,134,50,176
1328,36,0,10,2,11,0,5,0,0,0,0,0,32,0,31,18,30,2,0,0,0,8,0,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
1329,18,0,4,10,5,1,2,0,10,0,5,12,22,0,27,19,24,0,0,0,0,5,0,5,4,4,2,0,1,1,2,4,0,2,2,17,0,22,11,98,48,98
1330,150,0,66,76,6,1,0,2,7,0,2,6,99,28,110,155,107,0,0,0,0,5,0,7,2,1,0,0,0,0,0,0,0,0,0,4,0,7,7,280,198,408
1331,18,2,0,10,4,1,2,0,9,3,0,3,24,0,26,15,21,0,0,0,0,3,0,7,4,4,2,0,0,1,0,2,0,0,0,13,0,7,9,76,36,62
1332,20,0,4,2,28,7,5,11,20,0,7,10,42,7,45,44,31,34,0,12,16,45,11,52,71,36,10,0,4,7,6,4,0,4,20,21,10,27,57,280,198,264
1333,18,0,10,6,15,3,5,15,34,0,8,26,36,0,59,61,36,8,0,2,2,22,0,34,38,21,17,0,8,9,22,10,2,6,28,58,0,49,84,284,112,364
1334,20,0,22,16,6,0,7,2,43,0,18,31,50,0,64,86,40,2,0,0,0,12,0,14,24,7,10,0,8,1,16,50,16,16,48,60,0,94,132,340,128,584
1335,18,0,6,16,29,7,8,8,20,0,10,15,40,12,48,54,44,22,0,10,8,40,10,37,58,33,13,0,2,6,6,8,2,0,6,28,6,39,48,280,198,264
1336,10,0,6,6,5,0,8,0,9,0,4,3,20,0,17,19,1,6,0,0,0,10,0,13,11,7,6,0,0,6,2,0,0,0,4,14,0,17,18,98,28,118
1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,8,8,5,8,2,0,4,10,24,6,0,10,31,0,22,24,76,24,72
1338,64,0,20,22,9,4,7,0,0,0,0,0,47,0,48,64,17,4,0,2,0,10,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,36,142
1339,34,0,12,20,15,4,7,0,6,0,3,3,35,0,38,55,9,4,0,0,4,14,0,13,16,5,2,0,1,1,0,0,0,0,0,8,0,5,9,132,38,136
1340,12,0,4,4,25,8,14,19,12,0,3,13,34,0,37,51,15,44,0,12,16,59,0,70,92,37,25,0,8,5,2,4,0,4,6,23,0,35,53,284,112,364
1341,22,0,6,10,11,1,8,0,4,0,4,5,23,0,27,25,15,4,0,2,2,12,0,12,9,4,0,0,1,0,2,0,0,0,0,9,0,8,10,98,28,118
1342,32,6,10,26,14,9,13,5,36,3,19,31,56,0,79,111,45,6,2,2,0,23,0,32,38,23,14,1,5,7,16,22,6,16,18,43,0,61,108,340,134,608
1343,14,0,4,12,8,0,3,0,9,0,1,7,19,0,22,20,9,0,0,0,4,7,0,11,7,7,4,0,1,4,2,6,0,6,0,18,0,14,17,98,28,118
1344,150,30,106,74,4,3,4,4,12,1,10,15,112,7,146,229,150,0,0,0,0,3,0,7,3,9,0,1,0,0,0,0,0,0,0,7,1,15,20,340,158,604
1345,0,0,0,0,1,0,3,0,0,0,1,0,2,0,2,1,0,44,0,10,28,36,0,37,39,10,6,0,1,5,0,0,0,0,0,6,0,8,6,98,28,118
1346,2,0,0,0,3,0,2,0,6,0,2,7,6,0,10,13,4,2,0,0,2,10,0,14,19,6,14,0,0,7,12,14,0,8,12,38,0,31,46,132,36,142
1347,14,0,8,0,2,0,0,1,35,0,6,15,33,8,34,31,28,0,0,0,0,3,3,3,6,9,5,0,3,2,38,108,0,30,44,72,17,87,141,280,198,264
1348,24,0,4,2,12,0,8,0,0,0,0,0,23,0,24,15,19,12,0,0,0,17,0,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,58
1349,0,0,0,2,0,0,0,0,7,0,0,3,5,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,4,6,17,0,12,15,38,14,28
